source_customer,recommended_customer,similarity_score,rank
C0001,C0069,0.920762929980084,1
C0001,C0026,0.8029322905782889,2
C0001,C0120,0.7692777466675864,3
C0002,C0031,0.9263737834484116,1
C0002,C0178,0.8800647246239545,2
C0002,C0159,0.8484850026751629,3
C0003,C0166,0.7926315025273567,1
C0003,C0133,0.7170105859176206,2
C0003,C0031,0.6838108902758093,3
C0004,C0065,0.9600549148123665,1
C0004,C0075,0.9500149656079637,2
C0004,C0017,0.9274944190600924,3
C0005,C0095,0.9528536763398742,1
C0005,C0197,0.9510461108509489,2
C0005,C0007,0.9247533619119597,3
C0006,C0196,0.907927144755115,1
C0006,C0185,0.8832638806131643,2
C0006,C0117,0.8074436922690703,3
C0007,C0085,0.9669931575073877,1
C0007,C0005,0.9247533619119597,2
C0007,C0140,0.920933286022311,3
C0008,C0093,0.9200950032155756,1
C0008,C0194,0.9011719882884087,2
C0008,C0090,0.868302509931852,3
C0009,C0032,0.981566719558344,1
C0009,C0033,0.9718866186074202,2
C0009,C0083,0.9714197626621128,3
C0010,C0030,0.9035798217288724,1
C0010,C0056,0.8914272759838078,2
C0010,C0077,0.8368772707947525,3
C0011,C0153,0.8096514153660708,1
C0011,C0016,0.7924508961106793,2
C0011,C0107,0.7714957117057119,3
C0012,C0065,0.9367062962773909,1
C0012,C0113,0.9079370735356962,2
C0012,C0004,0.9018107765052878,3
C0013,C0099,0.939125544098891,1
C0013,C0156,0.9139437307932557,2
C0013,C0141,0.9086267252267366,3
C0014,C0128,0.9914663011090571,1
C0014,C0097,0.9877565869183044,2
C0014,C0058,0.9820162932648282,3
C0015,C0123,0.986377170502759,1
C0015,C0128,0.9730577453235981,2
C0015,C0095,0.9687642333109316,3
C0016,C0107,0.8620507287004623,1
C0016,C0011,0.7924508961106793,2
C0016,C0074,0.6736976342591748,3
C0017,C0075,0.9529236798147165,1
C0017,C0004,0.9274944190600924,2
C0017,C0122,0.8966207415704136,3
C0018,C0087,0.8368456548359953,1
C0018,C0068,0.8186677038932079,2
C0018,C0064,0.817614716888454,3
C0019,C0118,0.8097110915425076,1
C0019,C0174,0.798791586287756,2
C0019,C0191,0.7981416653806193,3
C0020,C0140,0.9817288553350967,1
C0020,C0078,0.95374979566018,2
C0020,C0130,0.9365073134178388,3
